dia,periodo,tipo_entrega,borda,refrigerante,valor_total,tempo
sábado,Inicio,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
sábado,Inicio,Buscar,"borda nao","refrigerante nao","vl 26-30","tp 33-44"
sábado,Inicio,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 22-33"
sábado,Inicio,Buscar,"borda nao","refrigerante nao","vl 18-22","tp 10-22"
sábado,Inicio,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 33-44"
sábado,Inicio,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 44-55"
sábado,Inicio,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 44-55"
sábado,Pico,Entrega,"borda sim","refrigerante nao","vl 34-38","tp 44-55"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 44-55"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 44-55"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 33-44"
sábado,Pico,Buscar,"borda sim","refrigerante nao","vl 30-34","tp 33-44"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 33-44"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 33-44"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 34-38","tp 33-44"
sábado,Pico,Buscar,"borda nao","refrigerante sim","vl 34-38","tp 33-44"
sábado,Final,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 22-33"
sábado,Final,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 22-33"
sábado,Final,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
domingo,Final,Entrega,"borda nao","refrigerante nao","vl 18-22","tp 22-33"
domingo,Pico,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 22-33"
domingo,Pico,Entrega,"borda nao","refrigerante nao","vl 18-22","tp 33-44"
domingo,Pico,Buscar,"borda nao","refrigerante nao","vl 22-26","tp 22-33"
terça,Inicio,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
